active_power,ambient_temp,wind_speed,wind_direction,sd_wd,turbulence_intensity
0.23059221,0.253932584,6.251573034,56.29146067,3.064323502,0.08810161
0.219457481,0.124444444,6.203888889,56.67711111,6.034986059,0.099105358
0.238665037,0.697,6.573555556,63.92,0,0.108905295
0.29072015,0.349325843,6.727078652,63.92,0,0.125400185
0.303809037,0.737777778,6.691333333,63.92,0,0.136038278
0.270245393,0.940786517,6.811348315,63.92,0,0.099451529
0.433177652,0.653181818,7.738977273,63.92,0,0.146569164
0.744247481,0.808333333,9.326888889,63.92,0,0.069694788
0.733404593,-0.350888889,9.082444444,63.92,0,0.076522894
0.839082,-0.793666667,9.426888889,63.92,0,0.067318224
0.723645243,-1.035730337,8.831235955,63.92,0,0.078882788
0.663154667,-1.154,8.903555556,63.92,0,0.054667416
0.641993926,-1.458222222,8.623888889,63.92,0,0.062859404
0.544137407,-1.861666667,8.348222222,63.92,0,0.048844905
0.509201037,-2.083444444,8.028666667,63.92,0,0.055797206
0.457762622,-2.395842697,7.753820225,63.92,0,0.072198403
0.369984889,-2.512888889,7.399444444,63.92,0,0.067615503
0.279994593,-2.734888889,6.809444444,63.92,0,0.061124022
0.254961185,-3.008888889,6.447555556,63.92,0,0.083346723
0.268946292,-3.190898876,6.496853933,63.92,0,0.044534426
0.32354563,-3.318444444,7.241777778,52.73333333,5.637510408,0.043369159
0.317399185,-3.529555556,7.124111111,49.96066667,0.977643119,0.089713999
0.307630074,-3.634444444,6.832111111,49.87855556,1.005845344,0.050632851
0.323070222,-3.695666667,6.752777778,49.91977778,1.050939631,0.061369228
0.405883895,-3.799550562,7.670898876,58.04640449,1.093134824,0.063574462
0.365055259,-3.927777778,7.392222222,58.221,1.017463303,0.055764385
0.393871407,-3.998555556,7.376666667,58.016,1.109377597,0.046229685
0.340175481,-4.039111111,6.918666667,58.02966667,1.018205571,0.041250432
0.300054157,-4.191123596,6.784157303,57.97730337,1.036349323,0.035756085
0.228509111,-4.438111111,6.468444444,49.13911111,6.488038717,0.062775751
0.18767563,-4.552444444,5.851,44.25,0,0.058054488
0.258509288,-4.608539326,6.631123596,44.25,0,0.080965872
0.228287111,-4.683222222,6.046666667,44.26366667,0.129653384,0.104289871
0.214279704,-4.695777778,6.289222222,44.25,0,0.080989622
0.287593481,-4.680222222,6.675111111,53.30422222,6.224898894,0.081497683
0.300331481,-4.724666667,6.914777778,57.71533333,1.057782501,0.070825762
0.24298382,-4.923595506,6.238426966,57.77,0.998568293,0.071852768
0.290549556,-4.993111111,6.854222222,57.852,1.055995403,0.104129012
0.34284037,-5.269444444,7.018111111,57.688,1.006545098,0.119415528
0.290589663,-8.000337079,6.700449438,57.9358427,1.100004968,0.108934048
0.311474889,-8.227666667,6.931888889,57.565,1.07908435,0.095369629
0.34765963,-8.248222222,7.144111111,57.92033333,1.08814805,0.10614493
0.414379778,-7.932222222,7.718888889,57.83833333,1.096448045,0.106806328
0.405268148,-8.349111111,7.484777778,57.82466667,1.057782501,0.103710613
0.360448444,-8.386333333,7.341666667,57.852,1.023294086,0.072657514
0.317122772,-8.428314607,6.743033708,57.8252809,1.06375951,0.10613597
0.287875431,-8.450786517,6.878988764,57.74235955,1.064848498,0.093625988
0.220748593,-8.514333333,5.911333333,56.77233333,0.635912244,0.068700582
0.158004593,-8.522,5.644555556,56.56733333,0.182324566,0.069590925
0.158313408,-8.543595506,5.512022472,56.55382022,0.226678114,0.075683339
0.147543778,-8.517222222,5.643888889,56.54,0,0.098119234
0.166375704,-8.537777778,5.691111111,56.52633333,0.129653384,0.066681611
0.166249556,-8.504333333,5.874,56.52633333,0.225405751,0.046141709
0.192724419,-8.551910112,5.958426966,56.54,0,0.060475871
0.187188222,-8.609333333,5.966555556,56.581,0.222028695,0.058358867
0.169743333,-8.657777778,5.764555556,56.52633333,0.129653384,0.057904437
0.168559778,-8.584,5.978444444,56.54,0,0.055067074
0.155035506,-8.607303371,5.823258427,56.56764045,0.183334161,0.052328824
0.201639333,-8.607,6.358333333,56.54,0,0.075448234
0.227532593,-8.773194444,6.388333333,56.57416667,0.203551219,0.091387845
0.245787792,-9.332467532,6.603636364,56.57194805,0.280343018,0.078926254
0.236072963,-9.378666667,6.292444444,56.55366667,0.225405751,0.091979104
0.214137395,-9.434252874,6.182298851,56.52586207,0.131869842,0.064042785
0.191505407,-9.491555556,6.185111111,56.54,0,0.07769724
0.150137481,-9.500111111,5.315777778,56.56733333,0.182324566,0.106994161
0.116102074,-9.522222222,5.207888889,56.54,0,0.071423907
0.085493109,-9.263820225,4.547752809,56.56764045,0.183334161,0.053470524
0.096846222,-9.179,4.561888889,56.55366667,0.129653384,0.033680915
0.084393407,-9.050111111,4.284222222,56.581,0.288607856,0.024574185
0.069937926,-8.949444444,4.020333333,56.54,0.184384795,0.026819144
0.066676,-8.515888889,4.291222222,56.56733333,0.182324566,0.06377872
