wind_speed,wind_direction,active_power,ambient_temp,sd_wd,turbulence_intensity
9.194021739,-3.207173913,0.927468551,5.535,1.451884964,0.090485725
9.100581395,-2.794069767,0.965671628,5.618488372,1.29888312,0.065543769
8.728888889,-2.077777778,0.879625926,5.763333333,1.228431701,0.095958934
8.506666667,-2.493333333,0.908175556,5.833333333,0.915113836,0.068938225
6.777272727,-4.216969697,0.443139293,5.74030303,4.637616752,0.065269836
6.6625,-6.13375,0.471871667,5.8125,0.511131448,0.040203608
6.536197183,-6.366901408,0.421359718,5.79915493,1.463259172,0.063005431
6.146744186,-1.738372093,0.305233488,5.460465116,4.205912466,0.074402465
6.2262,-7.8808,0.360833067,5.653,2.28038919,0.055743948
5.946195652,-6.7,0.310182826,5.855,2.484167006,0.066298678
5.770543478,-5.051195652,0.293724565,6.003586957,1.53461227,0.064868804
4.880326087,-2.72576087,0.171052754,5.935108696,3.818370354,0.052756581
4.768478261,-5.131304348,0.162111522,5.471195652,4.257727098,0.050537044
5.742608696,2.564782609,0.234225145,5.32923913,4.04183167,0.063576184
5.659456522,6.523586957,0.215283478,5.47,3.646983574,0.070186183
4.723369565,3.327065217,0.153083333,5.599021739,1.5715706,0.056965319
4.428152174,2.536956522,0.126649058,5.629021739,1.642663168,0.035130886
4.441304348,5.749891304,0.121007536,5.66673913,2.541914782,0.039069022
3.693586957,7.69,0.061535362,5.654782609,2.686803321,0.065219265
2.915777778,5.640666667,0.008472296,5.511555556,3.127821199,0.029487879
3.108333333,3.559777778,0.007205556,5.281777778,2.714847225,0.026755616
3.387790698,5.805581395,0.024467597,5.159883721,2.16881947,0.030105874
3.154230769,2.660384615,0.011305641,4.992307692,4.806238846,0.04006222
2.851408451,0.209577465,0.010581596,5,2.356649217,0.045214417
3.085818182,3.102,0.018558182,4.996181818,4.056256439,0.039522155
2.977727273,-2.471515152,0.003680909,4.848484848,7.969769467,0.029756224
2.7,4.65,0.001594667,4.87,2.393834674,0.041858713
3.892816901,-2.053802817,0.060476901,4.529295775,12.15338581,0.137979511
4.500465116,9.621395349,0.104390543,4.521860465,8.072521758,0.150721564
2.929,-2.7665,0.027277,4.299,5.195903523,0.076979553
2.64,10.05714286,0.003944762,4.357142857,16.26174316,0.055293867
3.172325581,1.986046512,0.019583876,4.187674419,9.47070097,0.066028979
3.171046512,0.281627907,0.023653256,4.203837209,13.28921738,0.085221144
2.435,6.305,0.001823333,4.14,0.374766594,0.052221986
3.298928571,-5.143928571,0.046096825,4.729285714,4.521159361,0.036475372
2.626486486,-3.731621622,0.022141261,4.833378378,8.51178587,0.060004881
2.689166667,10.36,0.004386667,7.075,1.550325479,0.026804649
2.220952381,2.433333333,0.004413651,7.137619048,4.754506634,0.039681356
1.803333333,-7.971666667,0.004386667,7.4,10.08557468,0.016854444
2.765862069,8.788965517,0.004745747,7.51862069,1.915861136,0.014729772
2.413333333,5.648666667,0.004195556,7.587,1.285955256,0.024446229
2.438214286,8.578571429,0.000905952,7.882142857,2.713831123,0.031811952
2.708888889,11.70222222,0.004177778,7.9,1.987585079,0.038254515
2.868070175,6.404385965,0.004384211,7.808596491,1.778023599,0.03019932
3.09,2.06375,0.01853375,6.375,0.989800485,0.027708808
2.622419355,5.736129032,0.008932581,6.401612903,5.417661874,0.07146815
