wind_speed,wind_direction,active_power,ambient_temp,sd_wd,turbulence_intensity
6.73923913,3.942934783,0.341982174,4.484565217,3.098793646,0.14144389
6.307717391,3.603695652,0.298055072,4.51923913,3.065768719,0.136369513
6.017282609,2.200652174,0.256008696,4.442717391,3.355477007,0.127425438
6.331521739,4.859347826,0.279919565,4.53923913,2.965232161,0.108041461
6.685978261,6.777717391,0.318089058,4.464782609,1.751848696,0.149826146
5.390833333,4.92625,0.165702222,4.305416667,3.133454563,0.110545064
5.870192308,3.631730769,0.201712692,4.361538462,1.86553648,0.087962542
5.624021739,1.056195652,0.184359855,4.331521739,2.384736188,0.093044227
5.753913043,2.727717391,0.19072,4.349347826,3.565249279,0.095840045
5.252608696,5.539782609,0.15343087,4.324347826,4.571775565,0.121556557
5.479456522,9.632391304,0.176533696,4.302934783,2.884704022,0.09960602
4.786413043,4.973478261,0.121123623,4.217608696,4.948192574,0.131946515
4.108152174,0.18673913,0.071578406,4.11576087,3.85737886,0.096721061
3.784456522,1.748695652,0.055927899,4.251304348,5.119998115,0.083937137
4.614021739,9.061195652,0.099899203,4.29423913,3.170159577,0.087782888
5.184673913,1.001956522,0.143319275,4.26673913,2.719804146,0.085385999
4.918369565,-0.030434783,0.123217609,4.261630435,3.630308591,0.12278068
4.574130435,-1.267608696,0.104501522,4.215326087,2.011995548,0.071275574
4.742826087,-2.9625,0.112395725,4.226956522,3.204564953,0.074624335
4.747391304,5.896304348,0.105451159,4.472282609,4.177831794,0.077711932
4.105652174,-6.658043478,0.062556232,4.37173913,4.887069784,0.118578966
3.285,2.214673913,0.02208587,4.353043478,4.945923941,0.04616281
3.372608696,5.113043478,0.014723478,4.25673913,3.26911748,0.043237274
3.498791209,7.113186813,0.02045685,4.318241758,3.161136532,0.065176808
3.088641975,-1.629506173,0.010152181,4.397530864,6.425267679,0.065845834
3.25278481,2.850126582,0.011003376,4.475696203,3.099337189,0.043507544
