"time_stamp","wind_speed","wind_direction","ambient_temp","terrain","active_power","sd_wd","turbulence_intensity"
"2017-11-30 00:00:00",4.07756097560976,195.803511,-11.3006097560976,3,0.0960565853658533,0.394808204902098,0.0731536971482408
"2017-11-30 00:10:00",4.82414634146341,195.773613,-11.4579268292683,3,0.147735447154471,0.295125627436888,0.112310126146995
"2017-11-30 00:20:00",3.94743902439024,195.728766,-11.5620731707317,3,0.08930918699187,0.190255206288834,0.0726336555430469
"2017-11-30 00:30:00",3.95134146341463,195.788562,-11.6268292682927,3,0.0828478048780487,0.374517748097488,0.0777339015482126
"2017-11-30 00:40:00",3.93378048780488,195.743715,-11.5770731707317,3,0.0740150406504067,0.231553170382118,0.0895972352050531
"2017-11-30 00:50:00",4.23939024390244,195.803511,-11.6224390243902,3,0.0939494308943087,0.394808204902098,0.0825707814664429
"2017-11-30 01:00:00",4.62878048780488,196.222083,-11.6909756097561,3,0.120040569105691,0.840278870472201,0.079162446956593
"2017-11-30 01:10:00",4.31234567901235,196.319343777778,-11.8895061728395,3,0.097277613168724,0.932013875136702,0.0884612110831886
"2017-11-30 01:20:00",3.66951219512195,196.341675,-11.9614634146341,3,0.072262601626016,1.00504912602819,0.0552787178879549
"2017-11-30 01:30:00",3.96085365853659,192.469884,-12.1418292682927,3,0.077528699186992,3.50180716466339,0.0741954809984524
"2017-11-30 01:40:00",4.58646341463415,189.53988,-12.3843902439024,3,0.099580487804878,1.07203364301681,0.0970705743027206
"2017-11-30 01:50:00",3.85414634146341,190.063095,-12.4690243902439,3,0.0705968292682927,2.03720820514003,0.0996359414054225
"2017-11-30 02:00:00",3.40829268292683,195.698868,-12.7648780487805,3,0.0360436585365853,0,0.0856921816843489
"2017-11-30 02:10:00",3.03139240506329,202.87337878481,-12.8201265822785,3,0.0177377215189873,1.03224343871979,0.0764225163477086
"2017-11-30 02:20:00",2.18157894736842,203.602605368421,-12.8136842105263,3,0.00374058479532164,2.73005121795371,0.061381256816856
"2017-11-30 07:20:00",4.56607594936709,142.289307873418,-14.6388607594937,3,0.0944269198312233,1.21823513641511,0.0362677529640303
"2017-11-30 07:30:00",4.8840243902439,139.415883,-14.5498780487805,3,0.122009430894309,0.352421772281454,0.0461474979517532
"2017-11-30 07:40:00",5.15530864197531,139.537874222222,-14.510987654321,3,0.151453004115226,0.529263517106934,0.0469159113495667
"2017-11-30 07:50:00",5.54890243902439,139.699914,-14.4536585365854,3,0.179491056910569,0.782131725151207,0.0322284620797718
"2017-11-30 08:00:00",5.42,139.595271,-14.3619512195122,3,0.159837723577236,0.659920964851097,0.0368461148062555
"2017-11-30 08:10:00",5.45865853658537,143.990277,-14.3374390243902,3,0.167180406504065,3.37351103662195,0.0467803525822
"2017-11-30 08:20:00",5.70012195121951,146.621301,-14.505487804878,3,0.194490731707317,0.40162554100306,0.0339446405320351
"2017-11-30 08:30:00",5.78641975308642,146.650645333333,-14.4530864197531,3,0.197955802469136,0.303030319901822,0.0427977680569489
"2017-11-30 08:40:00",5.72,146.666148,-14.3631707317073,3,0.201174308943089,0.190255206288817,0.0462732119295364
"2017-11-30 08:50:00",5.16439024390244,146.621301,-14.3526829268293,3,0.151633008130081,0.40162554100306,0.0493409720766044
"2017-11-30 09:00:00",5.50219512195122,146.666148,-14.2925609756098,3,0.180760894308943,0.190255206288817,0.0804700504679822
"2017-11-30 09:10:00",6.19378048780488,146.681097,-14.0741463414634,3,0.245907804878049,0.135368952430017,0.0531636261746882
"2017-11-30 09:20:00",5.85170731707317,146.63625,-13.7958536585366,3,0.21429081300813,0.328155762515304,0.0681000822903068
"2017-11-30 09:30:00",6.06658536585366,146.681097,-13.6040243902439,3,0.229491300813008,0.135368952430017,0.0807591252233539
"2017-11-30 09:40:00",6.68481481481481,146.665778888889,-13.4537037037037,3,0.287988888888889,0.191411062867067,0.0626598988286319
"2017-11-30 09:50:00",6.23634146341463,146.63625,-13.2374390243902,3,0.25261162601626,0.380510412577634,0.0873460550478814
"2017-11-30 10:00:00",5.58158536585366,146.696046,-12.8608536585366,3,0.202445365853659,0,0.0994395358814948
"2017-11-30 10:10:00",5.54036585365854,146.651199,-12.669756097561,3,0.193550081300813,0.231553170382097,0.0972010464922108
"2017-11-30 10:20:00",5.78456790123457,147.799688222222,-12.3991358024691,3,0.194372181069959,3.57403735038594,0.0972691379988429
"2017-11-30 10:30:00",5.91719512195122,158.94426,-12.4329268292683,3,0.216478943089431,0.333625401946555,0.103984077520749
"2017-11-30 10:40:00",5.42146341463415,158.929311,-12.1978048780488,3,0.165944146341463,0.135368952430017,0.102110345948863
"2017-11-30 10:50:00",4.53475609756098,157.479258,-11.7769512195122,3,0.09700756097561,1.20965510964738,0.118201173312949
"2017-11-30 11:00:00",4.73707317073171,153.639674195122,-10.8348780487805,3,0.116074878048781,4.07323413003021,0.104473338072489
"2017-11-30 11:10:00",4.90439024390244,154.055937,-10.9059756097561,3,0.133187398373984,0.135368952430017,0.184859509524109
"2017-11-30 11:20:00",6.12268292682927,154.040988,-10.7546341463415,3,0.259697723577236,0,0.136888388752867
"2017-11-30 11:30:00",5.98646341463415,154.070886,-10.4246341463415,3,0.217576178861789,0.190255206288817,0.156502406332865
"2017-11-30 11:40:00",6.80234567901235,150.03588637037,-9.24925925925926,3,0.322851522633745,3.65727059517941,0.125417616161257
"2017-11-30 11:50:00",6.07951219512195,135.848298073171,-7.6919512195122,3,0.250520487804878,9.32696582405908,0.144022977645683
