"time","wind_speed","wind_direction","ambient_temp","terrain","active_power","stdeviation","turbulence_intensity"
2015-03-03 17:00:00,4.486,65.8319200068,-10.796,4,0.0780546652,0,0.098640664784657
2015-03-03 17:10:00,6.37828571428571,80.1496446369257,-11.038,4,0.248314856209524,8.58998940377267,0.12737683145989
2015-03-03 17:20:00,4.56222222222222,85.02643559155,-11.0213888888889,4,0.0850796293148148,0.775272448949538,0.11762424573809
2015-03-03 17:30:00,4.99611111111111,72.8092286135667,-11.2947222222222,4,0.116246296703704,8.10451886641852,0.159997041932056
2015-03-03 17:40:00,3.93588235294118,67.9590756508588,-11.4741176470588,4,0.0649645098823529,2.91504566096392,0.162895712072199
2015-03-03 17:50:00,3.52583333333333,64.1338251706333,-11.5972222222222,4,0.0345468519259259,3.47813707093615,0.129304073958244
2015-03-03 18:00:00,3.71527777777778,74.5787519864,-11.6966666666667,4,0.0412231482592593,7.24507379491193,0.108116810546901
2015-03-03 18:10:00,4.25472222222222,82.33838746835,-11.8716666666667,4,0.0671151847962963,1.11174521425551,0.0903205363706205
2015-03-03 18:20:00,3.60914285714286,81.5508665148686,-12.1268571428571,4,0.0323184761142857,1.79163409360199,0.0672939015982607
2015-03-03 18:30:00,4.38666666666667,78.0901029966,-12.2480555555556,4,0.0682575926666667,0.655225151256779,0.047734806058652
2015-03-03 18:40:00,4.7675,84.2479815039667,-12.3519444444444,4,0.0916561112407407,6.31714213377906,0.0394157464982812
2015-03-03 18:50:00,4.61611111111111,78.97403130395,-12.39,4,0.0867462965185185,4.22904236492823,0.0404551462543212
2015-03-03 19:00:00,3.83111111111111,72.5766896655333,-12.4283333333333,4,0.0462594445185185,11.7456512148555,0.101709394107701
2015-03-03 19:10:00,3.79027777777778,40.6204311746,-12.7119444444444,4,0.0432864812592593,0.988285254538406,0.0667250077122652
2015-03-03 19:20:00,4.45,40.6885318977667,-12.9022222222222,4,0.072416481537037,0.993100371445145,0.0541476893573596
2015-03-03 19:30:00,4.93428571428571,40.3898610351771,-13.0025714285714,4,0.0988199993714286,0.944179253677063,0.0945347695352602
2015-03-03 19:40:00,5.01472222222222,40.4501791175333,-13.1241666666667,4,0.110639073907407,0.998489620505797,0.0823449972743927
2015-03-03 19:50:00,4.58638888888889,40.3480275344833,-13.2013888888889,4,0.0902948145925926,1.20174574143596,0.101000223898659
2015-03-03 20:00:00,4.0284,40.158707364624,-13.2632,4,0.05505626688,0.900788097026291,0.0839141633508607
2015-03-03 20:30:00,4.019375,40.4747341779375,-13.3,4,0.062362499875,0.891707695602132,0.0905339586757326
2015-03-03 20:40:00,3.58722222222222,40.8578018807667,-13.3375,4,0.0373659261111111,0.739855462237808,0.101445872487301
2015-03-03 20:50:00,2.92290322580645,40.650203315671,-13.468064516129,4,0.00847956980645161,0.88248751708383,0.0705522973891152
2015-03-03 21:00:00,3.3625,39.63198573555,-13.39,4,0.017145,0.612914481299995,0.0735876802216558
2015-03-03 21:30:00,4.205,65.6706470034,-13.5,4,0.0415,0,0.0634732147788817
2015-03-03 21:40:00,3.33166666666667,66.5219106107333,-13.5836111111111,4,0.0196453703703704,1.08931424943708,0.0655068124504381
2015-03-03 21:50:00,3.59722222222222,66.5216331406833,-13.6875,4,0.017825185,1.20078860996358,0.0565159034344771
2015-03-03 22:00:00,3.35083333333333,66.5219090604667,-13.6625,4,0.0181233333148148,0.963850834384714,0.0757712584597718
2015-03-03 22:10:00,3.35666666666667,66.2835555604667,-13.6761111111111,4,0.0270035182962963,0.903168789162208,0.0301812479471717
2015-03-03 22:20:00,3.46083333333333,66.2835551729,-13.7236111111111,4,0.0307220367962963,0.802486383810321,0.0499710887195071
2015-03-03 22:30:00,3.32228571428571,76.8687354967028,-13.7645714285714,4,0.0273708571428571,2.69264712207802,0.0683775072317923
2015-03-03 22:40:00,3.12257142857143,77.6386795559828,-13.7628571428571,4,0.0174718095428571,0.791397921130843,0.0604837065504327
2015-03-03 22:50:00,2.83529411764706,77.9188689762,-13.6423529411765,4,0.00706627454901961,0,0.0735205273226534
2015-03-03 23:00:00,2.58857142857143,78.0939852638571,-13.6385714285714,4,0.00243047619047619,0.46331414765765,0.0341321408814427
2015-03-04 06:20:00,3.81,82.822138983,-13.845,4,0.0417833343333333,0,0.075131560350513
2015-03-04 06:30:00,3.79416666666667,82.7540374293333,-13.83,4,0.0339342591666667,0.502816666852908,0.0303124102205944
2015-03-04 06:40:00,3.59342857142857,81.316415907,-13.7705714285714,4,0.0311792380190476,3.44152530356159,0.0274068436024405
2015-03-04 06:50:00,3.28416666666667,69.2741918462833,-13.6930555555556,4,0.0193122219259259,1.08970915232957,0.0268787961840804
2015-03-04 07:00:00,3.12558823529412,69.5201670711353,-13.6885294117647,4,0.00992862741176471,0.857623291907555,0.0366114093499148
2015-03-04 11:00:00,3.3269696969697,7.34966990878182,-9.16242424242424,4,0.0192626263838384,4.65250383746166,0.10871237445999
2015-03-04 11:10:00,3.04727272727273,5.99084054607272,-8.72181818181818,4,0.00733151521212121,4.41184657670617,0.109711457746417
2015-03-04 11:20:00,2.875,21.3601514983,-5.67833333333333,4,0.00422333333333333,4.67345294619155,0.0821943730488784
2015-03-04 13:10:00,3.11333333333333,36.4277464,-2.05733333333333,4,0.0179671113777778,4.21292672932371,0.153262108614513
2015-03-04 13:20:00,2.94058823529412,24.4461711398471,-3.18588235294118,4,0.0122474509019608,7.4152026512585,0.0688026259007435
2015-03-04 13:30:00,2.96,22.78695,-3.9975,4,0.00772333316666667,1.41546536307509,0.0497665567320537
